Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Gavi Paez,es ESP,"MF,FW",Barcelona,La Liga,16,2004,25.7,1115,1270,87.8,17381,3422,643,683,94.1,358,407,88,89,123,72.4,5,3.1,+1.9,18,116,28,4,75,Matches
Mohamed Ali Cho,fr FRA,FW,Angers,Ligue 1,17,2004,20.4,228,322,70.8,3214,599,141,173,81.5,61,84,72.6,11,29,37.9,1,2.5,-1.5,14,12,10,5,16,Matches
Florian Wirtz,de GER,"MF,FW",Leverkusen,Bundesliga,18,2003,20.6,681,910,74.8,12105,3546,329,398,82.7,255,320,79.7,86,159,54.1,10,7.6,+2.4,56,63,48,3,102,Matches
Jude Bellingham,eng ENG,MF,Dortmund,Bundesliga,18,2003,31,1298,1536,84.5,22817,5208,597,675,88.4,541,604,89.6,133,194,68.6,8,4.6,+3.4,34,113,36,2,138,Matches
Jamal Musiala,de GER,"MF,FW",Bayern Munich,Bundesliga,18,2003,16.3,616,739,83.4,9782,2370,328,380,86.3,232,268,86.6,46,57,80.7,5,4.4,+0.6,28,61,30,0,83,Matches
Malo Gusto,fr FRA,DF,Lyon,Ligue 1,18,2003,20.9,1301,1495,87,21284,6072,663,725,91.4,518,571,90.7,97,147,66,4,4.3,-0.3,24,56,23,15,77,Matches
Yeremi Pino,es ESP,"MF,FW",Villarreal,La Liga,18,2002,18.6,432,542,79.7,6406,1487,249,299,83.3,146,172,84.9,19,29,65.5,4,3.2,+0.8,22,9,30,8,47,Matches
Valentino Livramento,eng ENG,DF,Southampton,Premier League,18,2002,24.5,883,1155,76.5,14457,5498,486,546,89,318,427,74.5,70,140,50,1,2.3,-1.3,19,40,24,10,80,Matches
Bukayo Saka,eng ENG,"FW,MF",Arsenal,Premier League,19,2001,33.1,892,1184,75.3,13502,3277,514,604,85.1,293,376,77.9,58,126,46,7,6.9,+0.1,65,36,32,7,73,Matches
Michael Olise,fr FRA,"FW,MF",Crystal Palace,Premier League,19,2001,12.7,464,640,72.5,8506,2476,215,255,84.3,185,243,76.1,58,119,48.7,5,3.4,+1.6,24,29,27,8,65,Matches
Georginio Rutter,fr FRA,"FW,MF",Hoffenheim,Bundesliga,19,2002,17.9,211,330,63.9,3335,829,110,155,71,63,90,70,23,44,52.3,2,3,-1,8,18,16,4,25,Matches
Quentin Merlin,fr FRA,DF,Nantes,Ligue 1,19,2002,21.4,1034,1357,76.2,19715,8580,463,524,88.4,408,495,82.4,153,290,52.8,3,2.7,+0.3,31,104,27,13,126,Matches
João Pedro,br BRA,"FW,MF",Watford,Premier League,19,2001,18.3,397,576,68.9,6697,1733,213,292,72.9,120,170,70.6,47,71,66.2,1,2.6,-1.6,17,41,21,4,56,Matches
Nicolò Rovella,it ITA,MF,Genoa,Serie A,19,2001,16.3,762,957,79.6,15749,3943,305,325,93.8,297,340,87.4,150,269,55.8,3,2.4,+0.6,32,58,10,1,54,Matches
Nuno Mendes,pt POR,DF,Paris S-G,Ligue 1,19,2002,18.4,992,1133,87.6,15986,4075,533,579,92.1,362,408,88.7,78,103,75.7,1,2.3,-1.3,17,56,12,5,49,Matches
Dominik Szoboszlai,hu HUN,"MF,FW",RB Leipzig,Bundesliga,20,2000,17.1,760,985,77.2,12795,3666,392,466,84.1,245,304,80.6,92,155,59.4,8,5.1,+2.9,42,48,37,12,70,Matches
Jeremie Frimpong,nl NED,DF,Leverkusen,Bundesliga,20,2000,22.8,986,1209,81.6,16037,4909,499,553,90.2,402,473,85,69,129,53.5,6,4.1,+1.9,27,37,25,10,62,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,Bundesliga,20,2000,19.3,1123,1335,84.1,18799,5254,538,609,88.3,497,574,86.6,74,112,66.1,3,4,-1,33,52,41,16,102,Matches
Patrick Wimmer,at AUT,"FW,MF",Arminia,Bundesliga,20,2001,22.8,423,753,56.2,7753,3330,187,279,67,164,262,62.6,60,146,41.1,6,3.8,+2.2,40,53,21,4,77,Matches
David Pereira da Costa,pt POR,"MF,FW",Lens,Ligue 1,20,2001,16.3,665,798,83.3,10272,2652,363,402,90.3,237,269,88.1,46,86,53.5,5,3.6,+1.4,40,59,27,5,71,Matches
Anthony Gordon,eng ENG,"MF,FW",Everton,Premier League,20,2001,25.4,503,754,66.7,8074,2353,271,340,79.7,165,220,75,45,132,34.1,2,3.3,-1.3,34,23,22,10,55,Matches
Martinelli,br BRA,"FW,MF",Arsenal,Premier League,20,2001,20.7,453,612,74,7430,1415,228,272,83.8,174,218,79.8,39,83,47,6,3.3,+2.7,34,11,16,5,31,Matches
Sergiño Dest,us USA,"DF,FW",Barcelona,La Liga,20,2000,16.8,880,1000,88,13944,4131,470,497,94.6,358,403,88.8,44,72,61.1,3,2.8,+0.2,19,59,17,4,69,Matches
Takefusa Kubo,jp JPN,"FW,MF",Mallorca,La Liga,20,2001,17.8,363,516,70.3,5885,2113,193,243,79.4,120,169,71,38,67,56.7,0,2.6,-2.6,31,29,26,7,63,Matches
Khéphren Thuram-Ulie,fr FRA,MF,Nice,Ligue 1,20,2001,21.1,990,1141,86.8,18308,3879,391,431,90.7,463,505,91.7,116,158,73.4,2,2.6,-0.6,22,96,18,1,86,Matches
Melvin Bard,fr FRA,DF,Nice,Ligue 1,20,2000,28.8,1519,1866,81.4,26756,10217,688,760,90.5,663,788,84.1,143,247,57.9,2,2.4,-0.4,23,112,27,14,139,Matches
Wilfried Singo,ci CIV,DF,Torino,Serie A,20,2000,29,1079,1403,76.9,19351,6822,473,542,87.3,487,608,80.1,102,186,54.8,4,2.4,+1.6,24,53,37,15,99,Matches
Callum Hudson-Odoi,eng ENG,"FW,MF",Chelsea,Premier League,20,2000,10.7,313,393,79.6,4959,1083,173,201,86.1,108,132,81.8,22,41,53.7,2,2.3,-0.3,24,9,20,5,31,Matches
Vinicius Júnior,br BRA,FW,Real Madrid,La Liga,21,2000,29.9,1090,1299,83.9,16332,3618,676,755,89.5,321,372,86.3,64,92,69.6,10,7.8,+2.2,69,35,67,8,111,Matches
Amine Gouiri,fr FRA,"FW,MF",Nice,Ligue 1,21,2000,30.6,816,1049,77.8,13579,3125,434,508,85.4,263,316,83.2,93,157,59.2,9,6.8,+2.2,53,58,40,7,75,Matches
Phil Foden,eng ENG,FW,Manchester City,Premier League,21,2000,23.6,884,1096,80.7,14428,3061,502,553,90.8,285,339,84.1,80,153,52.3,5,6.6,-1.6,40,50,40,10,76,Matches
Erling Haaland,no NOR,FW,Dortmund,Bundesliga,21,2000,21.2,339,473,71.7,4178,830,211,277,76.2,83,119,69.7,9,15,60,8,5.7,+2.3,24,13,20,0,36,Matches
Reece James,eng ENG,DF,Chelsea,Premier League,21,1999,20.7,1442,1667,86.5,24467,6328,717,768,93.4,571,646,88.4,133,192,69.3,9,5.7,+3.3,47,74,49,13,120,Matches
Yacine Adli,fr FRA,"MF,FW",Bordeaux,Ligue 1,21,2000,25.1,910,1237,73.6,19345,6364,360,426,84.5,352,432,81.5,188,331,56.8,7,5.5,+1.5,57,112,39,4,148,Matches
Jesper Lindstrøm,dk DEN,"FW,MF",Eint Frankfurt,Bundesliga,21,2000,22,423,608,69.6,6797,1792,224,279,80.3,140,201,69.7,39,78,50,4,5.4,-1.4,44,23,18,5,40,Matches
Dwight McNeil,eng ENG,MF,Burnley,Premier League,21,1999,34.5,798,1150,69.4,15776,4702,345,404,85.4,289,365,79.2,142,299,47.5,1,4.8,-3.8,47,64,48,26,71,Matches
Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,Premier League,21,2000,21.1,810,982,82.5,11532,2687,500,576,86.8,256,308,83.1,32,49,65.3,3,4.2,-1.2,41,27,36,6,72,Matches
Sofiane Diop,fr FRA,"MF,FW",Monaco,Ligue 1,21,2000,21.6,725,981,73.9,13025,3688,350,419,83.5,258,323,79.9,95,175,54.3,4,4.1,-0.1,36,57,40,7,105,Matches
Sandro Tonali,it ITA,MF,Milan,Serie A,21,2000,28.9,1208,1481,81.6,24961,6797,441,488,90.4,501,563,89,239,380,62.9,2,4,-2,44,113,26,7,104,Matches
Raoul Bellanova,it ITA,DF,Cagliari,Serie A,21,2000,27.7,678,940,72.1,12758,3230,290,362,80.1,287,376,76.3,93,167,55.7,2,3.8,-1.8,32,30,28,19,49,Matches
Giacomo Raspadori,it ITA,"MF,FW",Sassuolo,Serie A,21,2000,30.4,845,1076,78.5,14659,2484,434,490,88.6,289,351,82.3,102,171,59.6,4,3.8,+0.2,46,37,35,2,71,Matches
João Félix,pt POR,"FW,MF",Atlético Madrid,La Liga,21,1999,14,342,460,74.3,5562,1686,204,235,86.8,91,126,72.2,37,70,52.9,4,3.7,+0.3,19,37,26,3,42,Matches
Bryan Mbeumo,fr FRA,FW,Brentford,Premier League,21,1999,32.3,544,814,66.8,8912,1866,302,381,79.3,164,245,66.9,58,118,49.2,7,3.6,+3.4,36,25,26,5,49,Matches
Timothy Weah,us USA,"MF,FW",Lille,Ligue 1,21,2000,18,411,556,73.9,6226,1622,250,292,85.6,127,179,70.9,26,47,55.3,4,3.6,+0.4,29,19,20,8,39,Matches
Davide Frattesi,it ITA,MF,Sassuolo,Serie A,21,1999,31.7,1059,1265,83.7,18401,4309,527,597,88.3,406,471,86.2,107,141,75.9,3,3.5,-0.5,26,85,24,4,110,Matches
Conor Gallagher,eng ENG,MF,Crystal Palace,Premier League,21,2000,31.6,890,1167,76.3,16238,4060,407,468,87,339,418,81.1,118,223,52.9,3,3.5,-0.5,35,77,22,9,62,Matches
Dejan Kulusevski,se SWE,"MF,FW",Tottenham,Premier League,21,2000,14,389,464,83.8,5908,1278,225,243,92.6,139,164,84.8,18,30,60,8,3.5,+4.5,26,19,24,7,37,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,Bundesliga,21,1999,21,542,753,72,9417,2514,251,314,79.9,209,275,76,64,115,55.7,2,3.2,-1.2,20,44,23,6,69,Matches
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,Bundesliga,21,2000,29,423,603,70.1,6654,1420,219,286,76.6,153,210,72.9,30,50,60,3,3.2,-0.2,31,36,22,3,54,Matches
Jonathan David,ca CAN,FW,Lille,Ligue 1,21,2000,31.2,527,668,78.9,7753,1674,295,353,83.6,176,217,81.1,31,43,72.1,0,3.2,-3.2,33,39,22,4,54,Matches
Hamed Junior Traorè,ci CIV,"FW,MF",Sassuolo,Serie A,21,2000,19.7,644,822,78.3,11380,3349,318,362,87.8,251,298,84.2,66,122,54.1,2,3.2,-1.2,35,62,35,4,94,Matches
Cheick Doucouré,ml MLI,MF,Lens,Ligue 1,21,2000,32.7,1699,1940,87.6,31828,7814,702,777,90.3,776,858,90.4,200,254,78.7,4,3.1,+0.9,38,187,25,0,205,Matches
Ismail Jakobs,de GER,"DF,FW",Monaco,Ligue 1,21,1999,13.4,650,914,71.1,11053,4210,337,382,88.2,254,343,74.1,53,150,35.3,1,3.1,-2.1,17,45,29,16,77,Matches
Alexander Isak,se SWE,FW,Real Sociedad,La Liga,21,1999,23.8,332,455,73,4761,948,201,247,81.4,96,129,74.4,19,33,57.6,2,3,-1,19,23,21,2,39,Matches
Ferrán Torres,es ESP,FW,Barcelona,La Liga,21,2000,15.7,495,587,84.3,7698,1563,285,321,88.8,163,189,86.2,35,48,72.9,4,3,+1.0,12,33,10,1,43,Matches
Ryan Sessegnon,eng ENG,DF,Tottenham,Premier League,21,2000,11.6,315,424,74.3,5397,1473,157,186,84.4,123,158,77.8,33,57,57.9,2,2.9,-0.9,15,12,15,6,35,Matches
Hicham Boudaoui,dz ALG,MF,Nice,Ligue 1,21,1999,18,504,662,76.1,7652,1684,282,334,84.4,174,221,78.7,30,63,47.6,2,2.8,-0.8,15,35,16,8,39,Matches
Oihan Sancet,es ESP,FW,Athletic Club,La Liga,21,2000,15.8,356,461,77.2,5487,1214,194,230,84.3,115,156,73.7,25,39,64.1,4,2.8,+1.2,24,33,23,2,45,Matches
Aurélien Tchouaméni,fr FRA,MF,Monaco,Ligue 1,21,2000,32.5,1797,2078,86.5,35727,9076,677,752,90,823,920,89.5,279,356,78.4,2,2.8,-0.8,22,169,34,6,189,Matches
Brahim Díaz,es ESP,MF,Milan,Serie A,21,1999,20.6,616,730,84.4,9930,2248,319,363,87.9,228,260,87.7,45,71,63.4,3,2.5,+0.5,31,56,29,3,67,Matches
Enzo Le Fée,fr FRA,"MF,FW",Lorient,Ligue 1,21,2000,24.4,956,1213,78.8,18190,5421,456,508,89.8,322,399,80.7,150,250,60,3,2.3,+0.7,49,87,22,9,101,Matches
Kylian Mbappé,fr FRA,FW,Paris S-G,Ligue 1,22,1998,33.6,1164,1452,80.2,17294,3420,717,829,86.5,307,379,81,84,137,61.3,18,12.4,+5.6,70,63,60,14,85,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,22,1998,31.7,2013,2706,74.4,44509,18154,727,826,88,813,1010,80.5,451,786,57.4,12,11.2,+0.8,89,231,89,26,278,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,Bundesliga,22,1999,30.7,759,1017,74.6,13598,3660,358,438,81.7,296,368,80.4,92,151,60.9,12,9.1,+2.9,61,55,61,18,104,Matches
Martin Ødegaard,no NOR,MF,Arsenal,Premier League,22,1998,30.9,1355,1598,84.8,23571,5463,668,740,90.3,496,562,88.3,153,223,68.6,4,6.8,-2.8,76,100,65,4,158,Matches
Mason Mount,eng ENG,"MF,FW",Chelsea,Premier League,22,1999,26.3,991,1272,77.9,15394,4619,552,616,89.6,313,394,79.4,80,174,46,10,6.7,+3.3,58,65,54,10,122,Matches
Rafael Leão,pt POR,FW,Milan,Serie A,22,1999,28.9,579,805,71.9,10387,3224,279,349,79.9,213,286,74.5,78,113,69,10,6.3,+3.7,45,55,51,9,119,Matches
Nedim Bajrami,al ALB,"MF,FW",Empoli,Serie A,22,1999,22.8,628,884,71,10783,3484,334,382,87.4,207,273,75.8,74,176,42,5,5.2,-0.2,55,41,47,10,90,Matches
Achraf Hakimi,ma MAR,DF,Paris S-G,Ligue 1,22,1998,27.5,1638,1834,89.3,24559,6938,935,1006,92.9,598,665,89.9,72,93,77.4,6,4.7,+1.3,29,65,39,13,98,Matches
Randal Kolo Muani,fr FRA,"FW,MF",Nantes,Ligue 1,22,1998,32.8,403,601,67.1,5476,1028,251,326,77,117,186,62.9,15,34,44.1,4,4.5,-0.5,38,15,15,6,26,Matches
Musa Barrow,gm GAM,"FW,MF",Bologna,Serie A,22,1998,23.7,714,939,76,12879,3087,371,415,89.4,225,292,77.1,101,197,51.3,6,4.4,+1.6,44,49,44,12,68,Matches
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,La Liga,22,1999,14.8,344,473,72.7,5823,1244,173,217,79.7,132,170,77.6,31,57,54.4,3,4.4,-1.4,27,7,25,3,41,Matches
Justin Kluivert,nl NED,MF,Nice,Ligue 1,22,1999,20.8,450,699,64.4,8441,2549,216,259,83.4,157,225,69.8,64,171,37.4,5,4.4,+0.6,36,27,24,13,47,Matches
Armand Lauriente,fr FRA,"FW,MF",Lorient,Ligue 1,22,1998,27.5,564,722,78.1,9066,2231,298,349,85.4,204,252,81,44,73,60.3,2,4.4,-2.4,41,37,32,14,62,Matches
Terem Moffi,ng NGA,FW,Lorient,Ligue 1,22,1999,30.1,423,568,74.5,6370,1283,256,310,82.6,106,152,69.7,38,58,65.5,4,4.2,-0.2,34,30,17,4,40,Matches
Donyell Malen,nl NED,FW,Dortmund,Bundesliga,22,1999,18.7,401,541,74.1,5551,1375,237,302,78.5,116,161,72,19,31,61.3,3,3.6,-0.6,18,18,18,5,37,Matches
Alexis Saelemaekers,be BEL,FW,Milan,Serie A,22,1999,20.7,686,867,79.1,10344,2486,390,452,86.3,220,271,81.2,48,84,57.1,3,3.6,-0.6,36,39,26,9,67,Matches
Mattéo Guendouzi,fr FRA,MF,Marseille,Ligue 1,22,1999,35,1901,2175,87.4,35967,8844,779,852,91.4,832,916,90.8,257,323,79.6,6,3.5,+2.5,36,220,53,4,219,Matches
Mattias Svanberg,se SWE,MF,Bologna,Serie A,22,1999,28.5,787,1063,74,13835,4215,405,457,88.6,253,334,75.7,104,208,50,3,3.4,-0.4,35,73,28,7,84,Matches
Anton Stach,de GER,MF,Mainz 05,Bundesliga,22,1998,20.7,706,964,73.2,12789,4142,339,418,81.1,257,335,76.7,93,162,57.4,6,3.3,+2.7,27,68,18,4,85,Matches
