Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Juanmi,es ESP,FW,Betis,La Liga,28,1993,23.7,417,520,80.2,6592,1551,225,261,86.2,132,156,84.6,37,57,64.9,4,2.5,+1.5,19,19,9,4,34,Matches
Stefan Lainer,at AUT,DF,M'Gladbach,Bundesliga,28,1992,16.3,575,767,75,9552,4254,282,334,84.4,242,313,77.3,43,80,53.8,2,2.5,-0.5,13,40,15,4,75,Matches
Vladimír Coufal,cz CZE,DF,West Ham,Premier League,28,1992,24.5,982,1417,69.3,16708,7662,465,549,84.7,419,572,73.3,80,230,34.8,4,2.4,+1.6,20,64,31,17,105,Matches
Mattia De Sciglio,it ITA,DF,Juventus,Serie A,28,1992,13,543,668,81.3,10667,3955,220,251,87.6,242,276,87.7,74,119,62.2,2,2.4,-0.4,21,37,17,12,48,Matches
Álex Moreno,es ESP,DF,Betis,La Liga,28,1993,26.7,1040,1404,74.1,17302,6748,530,597,88.8,414,551,75.1,77,187,41.2,3,2.4,+0.6,22,58,31,13,89,Matches
Stephan El Shaarawy,it ITA,"DF,FW",Roma,Serie A,28,1992,11.7,487,586,83.1,8857,2380,226,258,87.6,207,239,86.6,51,71,71.8,0,2.4,-2.4,31,23,30,5,58,Matches
Granit Xhaka,ch SUI,"MF,DF",Arsenal,Premier League,28,1992,25.9,1346,1548,87,25063,6693,572,633,90.4,579,641,90.3,169,217,77.9,2,2.3,-0.3,35,160,45,5,145,Matches
Mohamed Salah,eg EGY,FW,Liverpool,Premier League,29,1992,30.7,869,1118,77.7,12439,3620,550,633,86.9,256,332,77.1,39,74,52.7,13,10.4,+2.6,61,35,61,8,123,Matches
Son Heung-min,kr KOR,"FW,MF",Tottenham,Premier League,29,1992,33.4,933,1223,76.3,14512,3532,530,588,90.1,298,360,82.8,77,205,37.6,7,8.1,-1.1,71,35,45,4,76,Matches
Neymar,br BRA,"FW,MF",Paris S-G,Ligue 1,29,1992,20.6,1065,1336,79.7,16418,5210,623,724,86,309,377,82,93,156,59.6,6,7.6,-1.6,61,113,43,3,141,Matches
Jonas Hofmann,de GER,"MF,FW",M'Gladbach,Bundesliga,29,1992,23.1,998,1274,78.3,18056,5079,465,521,89.3,345,410,84.1,153,266,57.5,5,6.7,-1.7,74,56,30,5,89,Matches
Karim Onisiwo,at AUT,FW,Mainz 05,Bundesliga,29,1992,26.2,357,573,62.3,5368,1363,199,281,70.8,111,174,63.8,24,49,49,8,6.2,+1.8,40,20,19,6,44,Matches
Téji Savanier,fr FRA,MF,Montpellier,Ligue 1,29,1991,26.8,1075,1618,66.4,23315,7979,441,540,81.7,345,464,74.4,263,536,49.1,7,6,+1.0,59,149,42,16,157,Matches
Mark Uth,de GER,"MF,FW",Köln,Bundesliga,29,1991,22.5,510,748,68.2,10656,3042,212,279,76,179,234,76.5,113,192,58.9,8,5.4,+2.6,44,58,27,12,68,Matches
Gerard Moreno,es ESP,FW,Villarreal,La Liga,29,1992,13.2,323,472,68.4,6092,1697,149,195,76.4,115,161,71.4,52,78,66.7,3,4.7,-1.7,29,38,25,4,59,Matches
Kevin Volland,de GER,"MF,FW",Monaco,Ligue 1,29,1992,27.1,432,645,67,7660,2370,212,282,75.2,149,213,70,54,90,60,9,4.7,+4.3,31,57,30,4,67,Matches
Sadio Mané,sn SEN,FW,Liverpool,Premier League,29,1992,31.3,819,1091,75.1,13609,2896,424,510,83.1,291,390,74.6,83,109,76.1,2,4.4,-2.4,36,59,54,6,103,Matches
Andy Delort,dz ALG,FW,Nice,Ligue 1,29,1991,27.2,420,685,61.3,6456,1348,231,329,70.2,126,213,59.2,37,79,46.8,2,4.2,-2.2,33,26,28,9,43,Matches
Hamari Traoré,ml MLI,DF,Rennes,Ligue 1,29,1992,32.1,1830,2177,84.1,35904,11509,643,726,88.6,933,1053,88.6,240,351,68.4,10,4.2,+5.8,33,132,47,13,169,Matches
Davide Zappacosta,it ITA,DF,Atalanta,Serie A,29,1992,26.1,1255,1521,82.5,19380,6998,701,758,92.5,465,558,83.3,63,130,48.5,5,4.2,+0.8,35,55,39,21,102,Matches
Iván Balliu,al ALB,DF,Rayo Vallecano,La Liga,29,1992,35,1373,1796,76.4,26205,12003,584,654,89.3,579,726,79.8,188,340,55.3,2,4,-2,43,94,39,29,138,Matches
Alfonso Espino,uy URU,DF,Cádiz,La Liga,29,1992,37,1124,1778,63.2,22133,10055,472,567,83.2,447,627,71.3,180,472,38.1,2,3.9,-1.9,40,90,35,22,100,Matches
Christian Eriksen,dk DEN,MF,Brentford,Premier League,29,1992,10.4,472,634,74.4,10893,3905,160,185,86.5,171,209,81.8,134,220,60.9,4,3.6,+0.4,32,75,18,8,65,Matches
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,Bundesliga,29,1991,19,637,773,82.4,10150,2602,357,406,87.9,215,241,89.2,54,97,55.7,2,3.6,-1.6,24,56,32,2,87,Matches
Marvin Plattenhardt,de GER,DF,Hertha BSC,Bundesliga,29,1992,18.2,657,936,70.2,13040,6995,258,290,89,279,360,77.5,111,250,44.4,3,3.6,-0.6,42,29,14,7,46,Matches
Philippe Coutinho,br BRA,"MF,FW",Aston Villa,Premier League,29,1992,14.8,527,641,82.2,9021,2278,271,309,87.7,187,216,86.6,55,84,65.5,3,3.2,-0.2,25,68,13,3,60,Matches
Joshua King,no NOR,FW,Watford,Premier League,29,1992,25,387,524,73.9,5865,1126,210,261,80.5,146,200,73,19,28,67.9,3,3.2,-0.2,35,26,13,2,30,Matches
Riccardo Saponara,it ITA,FW,Fiorentina,Serie A,29,1991,14.3,428,552,77.5,8046,2252,178,211,84.4,191,232,82.3,53,70,75.7,3,3.2,-0.2,20,32,28,6,79,Matches
Florian Tardieu,fr FRA,MF,Troyes,Ligue 1,29,1992,29.2,1685,2040,82.6,34656,10430,658,720,91.4,706,796,88.7,291,471,61.8,2,3.2,-1.2,49,174,23,3,170,Matches
João Pedro,it ITA,FW,Cagliari,Serie A,29,1992,36.9,523,736,71.1,9681,1691,219,279,78.5,219,294,74.5,69,105,65.7,4,3.1,+0.9,27,23,23,3,54,Matches
Marcos Acuña,ar ARG,DF,Sevilla,La Liga,29,1991,25.1,1564,1971,79.4,32212,11965,591,635,93.1,682,803,84.9,275,474,58,3,3,0,41,103,42,23,123,Matches
Florent Mollet,fr FRA,"FW,MF",Montpellier,Ligue 1,29,1991,29.2,967,1195,80.9,15969,4115,510,560,91.1,318,377,84.4,98,180,54.4,2,3,-1,30,67,23,8,80,Matches
Davide Faraoni,it ITA,DF,Hellas Verona,Serie A,29,1991,28.6,959,1369,70.1,18304,9467,429,523,82,369,495,74.5,148,302,49,5,2.9,+2.1,21,82,60,22,142,Matches
Youcef Belaïli,dz ALG,"MF,FW",Brest,Ligue 1,29,1992,9.2,274,390,70.3,5458,1822,125,149,83.9,84,107,78.5,57,108,52.8,2,2.8,-0.8,20,33,16,1,34,Matches
Jorginho,it ITA,MF,Chelsea,Premier League,29,1991,25.3,1664,1856,89.7,29444,7066,731,790,92.5,762,823,92.6,144,201,71.6,2,2.8,-0.8,25,160,35,0,140,Matches
Willian José,br BRA,FW,Betis,La Liga,29,1991,17.8,413,531,77.8,6658,1173,220,258,85.3,126,160,78.8,39,66,59.1,4,2.8,+1.2,19,23,8,1,27,Matches
Pavel Kadeřábek,cz CZE,DF,Hoffenheim,Bundesliga,29,1992,13.3,507,681,74.4,9165,3582,224,270,83,219,284,77.1,57,93,61.3,2,2.8,-0.8,21,30,20,10,60,Matches
Oriol Romeu,es ESP,MF,Southampton,Premier League,29,1991,32.1,1396,1685,82.8,26627,6081,608,701,86.7,572,664,86.1,192,266,72.2,2,2.8,-0.8,35,125,25,2,125,Matches
Thomas Delaine,fr FRA,DF,Metz,Ligue 1,29,1992,25.7,867,1166,74.4,14664,6252,425,479,88.7,365,465,78.5,63,169,37.3,2,2.7,-0.7,29,48,24,16,89,Matches
Casemiro,br BRA,MF,Real Madrid,La Liga,29,1992,28.5,1714,1983,86.4,34844,9441,672,744,90.3,680,774,87.9,322,395,81.5,3,2.6,+0.4,24,181,20,2,144,Matches
Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,Bundesliga,29,1992,14.6,361,482,74.9,5227,1365,205,257,79.8,117,143,81.8,19,35,54.3,4,2.6,+1.4,18,23,11,3,31,Matches
Jordan Ferri,fr FRA,MF,Montpellier,Ligue 1,29,1992,32.3,2100,2502,83.9,43598,14073,765,850,90,887,992,89.4,404,576,70.1,2,2.6,-0.6,29,215,28,5,211,Matches
Thomas Meunier,be BEL,DF,Dortmund,Bundesliga,29,1991,15.6,898,1152,78,16457,6541,381,431,88.4,412,512,80.5,91,168,54.2,4,2.6,+1.4,14,56,24,13,105,Matches
Manu Trigueros,es ESP,"MF,FW",Villarreal,La Liga,29,1991,24.2,987,1229,80.3,17713,5406,438,499,87.8,420,488,86.1,110,185,59.5,4,2.6,+1.4,22,128,31,3,139,Matches
Jodel Dossou,bj BEN,FW,Clermont Foot,Ligue 1,29,1992,22.3,414,573,72.3,6060,1741,244,293,83.3,132,180,73.3,24,45,53.3,1,2.5,-1.5,23,36,23,12,51,Matches
Adri Embarba,es ESP,"FW,MF",Espanyol,La Liga,29,1992,22.1,491,794,61.8,8450,2659,252,311,81,155,238,65.1,63,187,33.7,2,2.5,-0.5,36,23,23,12,36,Matches
David Alaba,at AUT,DF,Real Madrid,La Liga,29,1992,29.4,1804,1967,91.7,33608,10916,751,778,96.5,811,860,94.3,216,285,75.8,3,2.4,+0.6,22,132,18,5,102,Matches
Dani Carvajal,es ESP,DF,Real Madrid,La Liga,29,1992,17.2,1040,1205,86.3,18625,5014,476,521,91.4,411,467,88,134,176,76.1,3,2.4,+0.6,26,45,27,8,68,Matches
Roberto Firmino,br BRA,FW,Liverpool,Premier League,29,1991,11,393,501,78.4,5872,1288,223,252,88.5,129,170,75.9,21,29,72.4,4,2.4,+1.6,18,27,11,1,35,Matches
Xherdan Shaqiri,ch SUI,"FW,MF",Lyon,Ligue 1,29,1991,7.5,265,346,76.6,4762,1488,142,159,89.3,70,85,82.4,45,83,54.2,3,2.4,+0.6,16,23,18,2,39,Matches
